83097	21253	UKN
83097	21156	UKN
96621	20375	UKN
101417	1102	UKN
101910	20635	UKN
101981	21561	UKN
102274	20970	UKN
102285	20761	UKN
102359	1141	UKN
102501	22032	UKN
104053	20939	UKN
104724	10031	UKN
104731	21427	UKN
104984	20645	UKN
105055	20540	UKN
105163	21418	UKN
105269	1278	UKN
105582	85202	EAS
105582	85203	EAS
105582	78381	EAS
105582	85277	AMR
105582	85278	AMR
105582	14386	OTH
105582	87045	AFR
105582	87046	AFR
105582	87047	AFR
105583	27993	UKN
105584	78381	EAS
105584	14904	UKN
105585	87047	AFR
105585	14386	OTH
105585	85202	EAS
105585	85203	EAS
105585	78381	EAS
105585	85277	AMR
105585	85278	AMR
105585	14386	OTH
105585	87045	AFR
105585	87046	AFR
105585	87047	AFR
105585	78381	EAS
105585		
105585		
105585		
105585	83732	SAS
105585	83694	SAS
105585	83714	SAS
105586	87047	AFR
105586	14386	OTH
105586	85202	EAS
105586	85203	EAS
105586	78381	EAS
105586	85277	AMR
105586	85278	AMR
105586	14386	OTH
105586	87045	AFR
105586	87046	AFR
105586	87047	AFR
105586	78381	EAS
105586		
105586		
105586		
105586	83732	SAS
105586	83694	SAS
105586	83714	SAS
